site_id,location_name,city_name,latitude,longitude,district_code,district_name,state_code,state_name,ncap_city_flag
site_5114,"Mahape, Navi Mumbai - MPCB",Navi Mumbai,19.1135051,73.008978,IN-517,Thane,IN-MH,Maharashtra,1
site_5115,"Worli, Mumbai - MPCB",Mumbai,18.9936162,72.8128113,IN-519,Mumbai,IN-MH,Maharashtra,1
site_5118,"Khadakpada, Kalyan - MPCB",Kalyan,19.25292,73.142019,IN-517,Thane,IN-MH,Maharashtra,0
site_5119,"Sion, Mumbai - MPCB",Mumbai,19.047,72.8746,IN-519,Mumbai,IN-MH,Maharashtra,1
site_5120,"Colaba, Mumbai - MPCB",Mumbai,18.91,72.82,IN-519,Mumbai,IN-MH,Maharashtra,1
site_5121,"Knowledge Park - V, Greater Noida - UPPCB",Greater Noida - NCR,28.557054,77.453663,IN-141,Gautam Buddha Nagar,IN-UP,Uttar Pradesh,0
site_5122,"Sector-116, Noida - UPPCB",Noida - NCR,28.56923,77.393848,IN-141,Gautam Buddha Nagar,IN-UP,Uttar Pradesh,1
site_5123,"Sector-1, Noida - UPPCB",Noida - NCR,28.589247,77.321962,IN-141,Gautam Buddha Nagar,IN-UP,Uttar Pradesh,1
site_5124,"Urban, Chamarajanagar - KSPCB",Chamarajanagar,11.55358,76.55521,IN-611,The Nilgiris,IN-TN,Tamil Nadu,0
site_5125,"Hebbal 1st Stage, Mysuru - KSPCB",Mysuru,12.21041,76.37376,IN-577,Mysore,IN-KA,Karnataka,0
site_5126,"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,22.51106,88.35142,IN-342,Kolkata,IN-WB,West Bengal,1
site_5127,"Sector-25, Chandigarh - CPCC",Chandigarh,30.751462,76.762879,IN-55,Chandigarh,IN-CH,Chandigarh,1
site_5128,"Gomti Nagar, Lucknow - UPPCB",Lucknow,26.86812,81.005119,IN-157,Lucknow,IN-UP,Uttar Pradesh,1
site_5129,"Bidhannagar, Kolkata - WBPCB",Kolkata,22.58157048,88.41002457,IN-337,North 24 Parganas,IN-WB,West Bengal,1
site_5131,"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,25.5586,91.8985,IN-298,East Khasi Hills,IN-ML,Meghalaya,0
